index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,0.6416,0.6416,0.0
1,task-1,vm2,0.0,0.2667,0.2667,0.0
1,task-1,vm3,0.0,0.125,0.125,0.0
1,task-1,vm4,0.0,0.0779,0.0779,0.0
1,task-1,vm4,0.0779,0.1081,0.186,0.0779
2,task-2,vm3,0.125,0.4462,0.5711999999999999,0.125
2,task-2,vm4,0.186,0.279,0.465,0.186
2,task-2,vm2,0.2667,0.8288,1.0955,0.2667
2,task-2,vm4,0.465,0.2907,0.7557,0.465
2,task-2,vm1,0.6416,1.7259,2.3674999999999997,0.6416
3,task-3,vm3,0.5711999999999999,1.0168,1.5879999999999999,0.5711999999999999
3,task-3,vm4,0.7557,0.556,1.3117,0.7557
3,task-3,vm4,1.3117,0.5582,1.8699000000000001,1.3117
3,task-3,vm2,1.0955,2.1879,3.2834,1.0955
3,task-3,vm3,1.5879999999999999,1.042,2.63,1.5879999999999999
3,task-3,vm4,1.8699000000000001,0.5601,2.43,1.8699000000000001
4,task-4,vm4,2.43,0.9667,3.3967,2.43
4,task-4,vm1,2.3674999999999997,7.0424,9.4099,2.3674999999999997
4,task-4,vm3,2.63,1.7792,4.4092,2.63
4,task-4,vm4,3.3967,0.9586,4.3553,3.3967
4,task-4,vm2,3.2834,3.889,7.1724,3.2834
4,task-4,vm4,4.3553,0.9689,5.324199999999999,4.3553
5,task-5,vm3,4.4092,2.727,7.1362000000000005,4.4092
5,task-5,vm4,5.324199999999999,1.4965,6.8206999999999995,5.324199999999999
5,task-5,vm4,6.8206999999999995,1.5019,8.3226,6.8206999999999995
5,task-5,vm2,7.1724,5.9829,13.1553,7.1724
5,task-5,vm3,7.1362000000000005,2.7586,9.8948,7.1362000000000005
6,task-6,vm4,8.3226,2.1439,10.4665,8.3226
6,task-6,vm1,9.4099,16.3405,25.7504,9.4099
6,task-6,vm4,10.4665,2.1633,12.6298,10.4665
6,task-6,vm3,9.8948,4.026,13.9208,9.8948
6,task-6,vm4,12.6298,2.1458,14.775599999999999,12.6298
6,task-6,vm2,13.1553,8.515,21.6703,13.1553
7,task-7,vm4,14.775599999999999,2.9089,17.6845,14.775599999999999
7,task-7,vm3,13.9208,5.4051,19.3259,13.9208
7,task-7,vm4,17.6845,2.9152,20.5997,17.6845
7,task-7,vm4,20.5997,2.9328,23.5325,20.5997
7,task-7,vm3,19.3259,5.3832,24.7091,19.3259
8,task-8,vm2,21.6703,14.2325,35.9028,21.6703
8,task-8,vm4,23.5325,3.781,27.313499999999998,23.5325
8,task-8,vm3,24.7091,7.0365,31.7456,24.7091
8,task-8,vm4,27.313499999999998,3.8108,31.124299999999998,27.313499999999998
9,task-9,vm4,31.124299999999998,4.7905,35.9148,31.124299999999998
9,task-9,vm3,31.7456,8.8977,40.643299999999996,31.7456
9,task-9,vm4,35.9148,4.8047,40.7195,35.9148
9,task-9,vm2,35.9028,17.8655,53.768299999999996,35.9028
10,task-10,vm4,40.7195,5.938,46.6575,40.7195
10,task-10,vm3,40.643299999999996,10.9645,51.6078,40.643299999999996
10,task-10,vm4,46.6575,6.1111,52.7686,46.6575
