index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.23,0.23,0.0
1,task-1,vm2,0.23,0.2285,0.4585,0.23
2,task-2,vm2,0.4585,0.8994,1.3578999999999999,0.4585
2,task-2,vm2,1.3578999999999999,0.8894,2.2473,1.3578999999999999
3,task-3,vm1,0.0,4.1942,4.1942,0.0
3,task-3,vm4,0.0,0.557,0.557,0.0
4,task-4,vm4,0.557,0.9769,1.5339,0.557
4,task-4,vm2,2.2473,3.5385,5.7858,2.2473
5,task-5,vm1,4.1942,11.5268,15.721,4.1942
5,task-5,vm4,1.5339,1.5099,3.0438,1.5339
6,task-6,vm2,5.7858,7.9257,13.711500000000001,5.7858
6,task-6,vm2,13.711500000000001,7.8541,21.5656,13.711500000000001
7,task-7,vm3,0.0,5.5574,5.5574,0.0
7,task-7,vm4,3.0438,2.9321,5.9759,3.0438
8,task-8,vm3,5.5574,7.5167,13.074100000000001,5.5574
8,task-8,vm4,5.9759,3.7748,9.7507,5.9759
9,task-9,vm4,9.7507,4.7871,14.5378,9.7507
9,task-9,vm4,14.5378,4.7938,19.3316,14.5378
10,task-10,vm3,13.074100000000001,11.7245,24.7986,13.074100000000001
10,task-10,vm4,19.3316,5.8818,25.2134,19.3316
