index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2499,0.2499,0.0
1,task-1,vm2,0.2499,0.2355,0.4854,0.2499
1,task-1,vm3,0.0,0.1288,0.1288,0.0
1,task-1,vm3,0.1288,0.1855,0.3143,0.1288
1,task-1,vm2,0.4854,0.2347,0.7201,0.4854
1,task-1,vm4,0.0,0.1095,0.1095,0.0
1,task-1,vm3,0.3143,0.1212,0.4355,0.3143
1,task-1,vm3,0.4355,0.1283,0.5638,0.4355
1,task-1,vm3,0.5638,0.1324,0.6961999999999999,0.5638
1,task-1,vm3,0.6961999999999999,0.1268,0.823,0.6961999999999999
1,task-1,vm3,0.823,0.1204,0.9433999999999999,0.823
1,task-1,vm2,0.7201,0.2405,0.9605999999999999,0.7201
1,task-1,vm3,0.9433999999999999,0.1266,1.0699999999999998,0.9433999999999999
1,task-1,vm1,0.0,1.8907,1.8907,0.0
10,task-10,vm4,0.1095,6.1475,6.257,0.1095
10,task-10,vm4,6.257,6.2257,12.4827,6.257
10,task-10,vm3,1.0699999999999998,11.1888,12.2588,1.0699999999999998
10,task-10,vm3,12.2588,11.2992,23.558,12.2588
10,task-10,vm4,12.4827,6.1429,18.6256,12.4827
10,task-10,vm2,0.9605999999999999,22.6595,23.6201,0.9605999999999999
10,task-10,vm2,23.6201,24.2904,47.9105,23.6201
10,task-10,vm4,18.6256,6.1651,24.790699999999998,18.6256
10,task-10,vm4,24.790699999999998,6.204,30.994699999999998,24.790699999999998
10,task-10,vm4,30.994699999999998,6.1872,37.1819,30.994699999999998
10,task-10,vm4,37.1819,6.181,43.362899999999996,37.1819
10,task-10,vm3,23.558,11.1661,34.7241,23.558
10,task-10,vm4,43.362899999999996,6.0964,49.4593,43.362899999999996
10,task-10,vm3,34.7241,11.173,45.8971,34.7241
10,task-10,vm4,49.4593,6.1635,55.6228,49.4593
