index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,1.9473,1.9473,0.0
1,task-1,vm4,0.0,0.0829,0.0829,0.0
1,task-1,vm1,1.9473,2.1682,4.1155,1.9473
1,task-1,vm1,4.1155,2.0029,6.118399999999999,4.1155
1,task-1,vm2,0.0,0.258,0.258,0.0
2,task-2,vm3,0.0,0.46,0.46,0.0
2,task-2,vm4,0.0829,0.2777,0.36060000000000003,0.0829
2,task-2,vm1,6.118399999999999,17.0563,23.1747,6.118399999999999
2,task-2,vm1,23.1747,7.6872,30.861900000000002,23.1747
2,task-2,vm3,0.46,0.455,0.915,0.46
3,task-3,vm1,30.861900000000002,7.1653,38.0272,30.861900000000002
3,task-3,vm1,38.0272,16.2816,54.308800000000005,38.0272
3,task-3,vm2,0.258,2.0306,2.2886,0.258
3,task-3,vm4,0.36060000000000003,0.5614,0.922,0.36060000000000003
3,task-3,vm4,0.922,0.5705,1.4925000000000002,0.922
3,task-3,vm2,2.2886,2.2092,4.4978,2.2886
4,task-4,vm3,0.915,1.791,2.706,0.915
4,task-4,vm3,2.706,1.9564,4.6624,2.706
4,task-4,vm4,1.4925000000000002,0.9972,2.4897,1.4925000000000002
4,task-4,vm3,4.6624,1.795,6.4574,4.6624
4,task-4,vm2,4.4978,3.9423,8.4401,4.4978
4,task-4,vm2,8.4401,3.7547,12.194799999999999,8.4401
5,task-5,vm4,2.4897,1.5916,4.0813,2.4897
5,task-5,vm3,6.4574,2.8128,9.270199999999999,6.4574
5,task-5,vm3,9.270199999999999,2.8226,12.092799999999999,9.270199999999999
5,task-5,vm2,12.194799999999999,6.0906,18.2854,12.194799999999999
5,task-5,vm4,4.0813,1.5093,5.5906,4.0813
6,task-6,vm3,12.092799999999999,4.0198,16.1126,12.092799999999999
6,task-6,vm4,5.5906,2.1481,7.7387,5.5906
6,task-6,vm3,16.1126,4.0636,20.1762,16.1126
6,task-6,vm3,20.1762,4.0168,24.193,20.1762
6,task-6,vm2,18.2854,8.8282,27.113599999999998,18.2854
7,task-7,vm4,7.7387,2.9432,10.681899999999999,7.7387
7,task-7,vm4,10.681899999999999,2.9412,13.623099999999999,10.681899999999999
7,task-7,vm2,27.113599999999998,11.9093,39.0229,27.113599999999998
7,task-7,vm4,13.623099999999999,2.9441,16.5672,13.623099999999999
8,task-8,vm2,39.0229,14.3398,53.362700000000004,39.0229
8,task-8,vm3,24.193,7.1303,31.323300000000003,24.193
8,task-8,vm4,16.5672,3.8382,20.4054,16.5672
8,task-8,vm4,20.4054,3.8517,24.2571,20.4054
9,task-9,vm4,24.2571,4.8518,29.108900000000002,24.2571
9,task-9,vm3,31.323300000000003,9.0548,40.3781,31.323300000000003
9,task-9,vm4,29.108900000000002,4.816,33.9249,29.108900000000002
9,task-9,vm4,33.9249,4.8932,38.8181,33.9249
9,task-9,vm4,38.8181,4.8207,43.6388,38.8181
10,task-10,vm3,40.3781,11.1395,51.5176,40.3781
10,task-10,vm4,43.6388,5.9569,49.5957,43.6388
10,task-10,vm4,49.5957,5.9542,55.5499,49.5957
