index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,0.4811,0.4811,0.0
1,task-1,vm2,0.0,0.246,0.246,0.0
1,task-1,vm3,0.0,0.1279,0.1279,0.0
1,task-1,vm4,0.0,0.1022,0.1022,0.0
1,task-1,vm1,0.4811,0.9483,1.4294,0.4811
2,task-2,vm2,0.246,0.9563,1.2023000000000001,0.246
2,task-2,vm3,0.1279,0.4532,0.5811,0.1279
2,task-2,vm4,0.1022,0.2675,0.36970000000000003,0.1022
2,task-2,vm1,1.4294,3.1209,4.5503,1.4294
2,task-2,vm2,1.2023000000000001,0.8463,2.0486000000000004,1.2023000000000001
3,task-3,vm3,0.5811,0.9964,1.5775,0.5811
3,task-3,vm4,0.36970000000000003,0.5753,0.9450000000000001,0.36970000000000003
3,task-3,vm1,4.5503,8.2903,12.8406,4.5503
3,task-3,vm2,2.0486000000000004,1.8345,3.8831000000000007,2.0486000000000004
3,task-3,vm3,1.5775,0.999,2.5765,1.5775
3,task-3,vm4,0.9450000000000001,0.5624,1.5074,0.9450000000000001
4,task-4,vm1,12.8406,7.2084,20.049,12.8406
4,task-4,vm2,3.8831000000000007,3.8816,7.764700000000001,3.8831000000000007
4,task-4,vm3,2.5765,1.7946,4.3711,2.5765
4,task-4,vm4,1.5074,0.9709,2.4783,1.5074
4,task-4,vm1,20.049,12.7899,32.838899999999995,20.049
4,task-4,vm2,7.764700000000001,3.3962,11.160900000000002,7.764700000000001
5,task-5,vm3,4.3711,2.7921,7.1632,4.3711
5,task-5,vm4,2.4783,1.5118,3.9901,2.4783
5,task-5,vm2,11.160900000000002,5.2888,16.4497,11.160900000000002
5,task-5,vm3,7.1632,2.7495,9.9127,7.1632
6,task-6,vm4,3.9901,2.3479,6.338,3.9901
6,task-6,vm1,32.838899999999995,15.8227,48.66159999999999,32.838899999999995
6,task-6,vm2,16.4497,7.9259,24.3756,16.4497
6,task-6,vm3,9.9127,3.9797,13.892399999999999,9.9127
6,task-6,vm4,6.338,2.1453,8.4833,6.338
6,task-6,vm1,48.66159999999999,27.7272,76.38879999999999,48.66159999999999
7,task-7,vm2,24.3756,11.6912,36.0668,24.3756
7,task-7,vm3,13.892399999999999,5.352,19.2444,13.892399999999999
7,task-7,vm4,8.4833,2.9559,11.4392,8.4833
7,task-7,vm1,76.38879999999999,29.6852,106.07399999999998,76.38879999999999
7,task-7,vm2,36.0668,10.2905,46.3573,36.0668
8,task-8,vm3,19.2444,6.9707,26.2151,19.2444
8,task-8,vm4,11.4392,3.8198,15.259,11.4392
8,task-8,vm2,46.3573,13.478,59.835300000000004,46.3573
9,task-9,vm3,26.2151,8.8536,35.0687,26.2151
9,task-9,vm4,15.259,4.803,20.062,15.259
9,task-9,vm2,59.835300000000004,16.9935,76.8288,59.835300000000004
9,task-9,vm3,35.0687,8.8609,43.9296,35.0687
10,task-10,vm4,20.062,5.9521,26.0141,20.062
10,task-10,vm2,76.8288,21.8058,98.6346,76.8288
