index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.2296,0.2296,0.0
1,task-1,vm3,0.0,0.1357,0.1357,0.0
1,task-1,vm3,0.1357,0.1238,0.25949999999999995,0.1357
1,task-1,vm1,0.0,0.6777,0.6777,0.0
1,task-1,vm1,0.6777,0.4849,1.1625999999999999,0.6777
1,task-1,vm1,1.1625999999999999,0.5203,1.6828999999999998,1.1625999999999999
1,task-1,vm2,0.2296,0.2408,0.4704,0.2296
1,task-1,vm1,1.6828999999999998,0.7388,2.4217,1.6828999999999998
1,task-1,vm3,0.25949999999999995,0.1282,0.38769999999999993,0.25949999999999995
1,task-1,vm3,0.38769999999999993,0.1307,0.5184,0.38769999999999993
1,task-1,vm2,0.4704,0.2503,0.7207,0.4704
1,task-1,vm1,2.4217,1.1884,3.6101,2.4217
1,task-1,vm3,0.5184,0.1427,0.6611,0.5184
1,task-1,vm2,0.7207,0.2443,0.965,0.7207
10,task-10,vm4,0.0,5.8975,5.8975,0.0
10,task-10,vm3,0.6611,11.4221,12.0832,0.6611
10,task-10,vm4,5.8975,5.8991,11.7966,5.8975
10,task-10,vm2,0.965,21.4317,22.3967,0.965
10,task-10,vm3,12.0832,11.5965,23.6797,12.0832
10,task-10,vm4,11.7966,5.8844,17.681,11.7966
10,task-10,vm3,23.6797,11.493,35.1727,23.6797
10,task-10,vm4,17.681,5.9158,23.5968,17.681
10,task-10,vm4,23.5968,5.8902,29.487000000000002,23.5968
10,task-10,vm4,29.487000000000002,5.9098,35.3968,29.487000000000002
10,task-10,vm2,22.3967,21.7841,44.1808,22.3967
10,task-10,vm3,35.1727,11.6886,46.8613,35.1727
10,task-10,vm4,35.3968,6.0174,41.4142,35.3968
10,task-10,vm4,41.4142,5.8658,47.28,41.4142
10,task-10,vm4,47.28,5.874,53.154,47.28
