index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,0.6384,0.6384,0.0
1,task-1,vm2,0.0,0.2302,0.2302,0.0
1,task-1,vm1,0.6384,0.5326,1.1709999999999998,0.6384
1,task-1,vm2,0.2302,0.2257,0.45589999999999997,0.2302
1,task-1,vm2,0.45589999999999997,0.2289,0.6848,0.45589999999999997
2,task-2,vm2,0.6848,0.8827,1.5675,0.6848
2,task-2,vm3,0.0,0.444,0.444,0.0
2,task-2,vm2,1.5675,0.8659,2.4334,1.5675
2,task-2,vm4,0.0,0.2561,0.2561,0.0
2,task-2,vm2,2.4334,0.8699,3.3032999999999997,2.4334
3,task-3,vm4,0.2561,0.5575,0.8136,0.2561
3,task-3,vm3,0.444,0.9598,1.4038,0.444
3,task-3,vm4,0.8136,0.5672,1.3808,0.8136
3,task-3,vm4,1.3808,0.5616,1.9424000000000001,1.3808
3,task-3,vm4,1.9424000000000001,0.5772,2.5196,1.9424000000000001
3,task-3,vm2,3.3032999999999997,1.8845,5.187799999999999,3.3032999999999997
4,task-4,vm4,2.5196,0.9677,3.4873000000000003,2.5196
4,task-4,vm4,3.4873000000000003,0.9856,4.4729,3.4873000000000003
4,task-4,vm1,1.1709999999999998,7.0604,8.231399999999999,1.1709999999999998
4,task-4,vm4,4.4729,0.9697,5.4426000000000005,4.4729
4,task-4,vm4,5.4426000000000005,0.9643,6.4069,5.4426000000000005
4,task-4,vm4,6.4069,0.9749,7.3818,6.4069
5,task-5,vm4,7.3818,1.5129,8.8947,7.3818
5,task-5,vm4,8.8947,1.5597,10.4544,8.8947
5,task-5,vm4,10.4544,1.4973,11.951699999999999,10.4544
5,task-5,vm2,5.187799999999999,5.4066,10.5944,5.187799999999999
5,task-5,vm1,8.231399999999999,11.1749,19.406299999999998,8.231399999999999
6,task-6,vm1,19.406299999999998,15.6314,35.0377,19.406299999999998
6,task-6,vm3,1.4038,3.8409,5.2447,1.4038
6,task-6,vm2,10.5944,7.7476,18.342,10.5944
6,task-6,vm1,35.0377,15.7469,50.7846,35.0377
6,task-6,vm3,5.2447,3.8072,9.0519,5.2447
6,task-6,vm4,11.951699999999999,2.1462,14.0979,11.951699999999999
7,task-7,vm4,14.0979,3.0929,17.1908,14.0979
7,task-7,vm3,9.0519,5.2565,14.308399999999999,9.0519
7,task-7,vm4,17.1908,2.9135,20.1043,17.1908
7,task-7,vm4,20.1043,2.899,23.0033,20.1043
7,task-7,vm4,23.0033,3.1449,26.1482,23.0033
8,task-8,vm4,26.1482,3.9548,30.102999999999998,26.1482
8,task-8,vm2,18.342,13.8643,32.2063,18.342
8,task-8,vm4,30.102999999999998,3.8119,33.914899999999996,30.102999999999998
8,task-8,vm3,14.308399999999999,6.7661,21.0745,14.308399999999999
9,task-9,vm3,21.0745,8.6648,29.7393,21.0745
9,task-9,vm4,33.914899999999996,4.8506,38.765499999999996,33.914899999999996
9,task-9,vm4,38.765499999999996,4.8005,43.565999999999995,38.765499999999996
9,task-9,vm2,32.2063,17.3652,49.5715,32.2063
9,task-9,vm3,29.7393,8.6058,38.3451,29.7393
10,task-10,vm4,43.565999999999995,5.8913,49.4573,43.565999999999995
10,task-10,vm4,49.4573,5.8832,55.3405,49.4573
10,task-10,vm3,38.3451,10.666,49.0111,38.3451
