index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm2,0.0,0.235,0.235,0.0
1,task-1,vm2,0.235,0.227,0.46199999999999997,0.235
1,task-1,vm3,0.0,0.134,0.134,0.0
1,task-1,vm2,0.46199999999999997,0.231,0.693,0.46199999999999997
1,task-1,vm3,0.134,0.1378,0.27180000000000004,0.134
1,task-1,vm4,0.0,0.0946,0.0946,0.0
1,task-1,vm1,0.0,0.5593,0.5593,0.0
1,task-1,vm1,0.5593,0.622,1.1813,0.5593
1,task-1,vm4,0.0946,0.0795,0.1741,0.0946
1,task-1,vm3,0.27180000000000004,0.1964,0.46820000000000006,0.27180000000000004
1,task-1,vm3,0.46820000000000006,0.1345,0.6027,0.46820000000000006
1,task-1,vm3,0.6027,0.1936,0.7963,0.6027
1,task-1,vm2,0.693,0.2278,0.9208,0.693
1,task-1,vm4,0.1741,0.0852,0.2593,0.1741
1,task-1,vm2,0.9208,0.37,1.2908,0.9208
1,task-1,vm2,1.2908,0.2413,1.5321,1.2908
1,task-1,vm2,1.5321,0.226,1.7581,1.5321
1,task-1,vm4,0.2593,0.0847,0.344,0.2593
1,task-1,vm4,0.344,0.0915,0.4355,0.344
1,task-1,vm2,1.7581,0.2256,1.9837,1.7581
1,task-1,vm2,1.9837,0.2312,2.2149,1.9837
1,task-1,vm3,0.7963,0.1271,0.9234,0.7963
1,task-1,vm2,2.2149,0.2325,2.4474,2.2149
1,task-1,vm4,0.4355,0.0875,0.523,0.4355
1,task-1,vm4,0.523,0.0803,0.6033000000000001,0.523
1,task-1,vm2,2.4474,0.2318,2.6792,2.4474
1,task-1,vm2,2.6792,0.2352,2.9143999999999997,2.6792
1,task-1,vm4,0.6033000000000001,0.0967,0.7000000000000001,0.6033000000000001
1,task-1,vm2,2.9143999999999997,0.2298,3.1441999999999997,2.9143999999999997
1,task-1,vm2,3.1441999999999997,0.232,3.3762,3.1441999999999997
1,task-1,vm4,0.7000000000000001,0.0879,0.7879,0.7000000000000001
1,task-1,vm2,3.3762,0.2285,3.6047,3.3762
1,task-1,vm3,0.9234,0.1337,1.0571,0.9234
1,task-1,vm1,1.1813,0.5764,1.7577,1.1813
1,task-1,vm4,0.7879,0.0896,0.8775000000000001,0.7879
1,task-1,vm2,3.6047,0.2303,3.835,3.6047
1,task-1,vm1,1.7577,0.5766,2.3343,1.7577
1,task-1,vm3,1.0571,0.143,1.2001,1.0571
1,task-1,vm4,0.8775000000000001,0.1059,0.9834,0.8775000000000001
1,task-1,vm1,2.3343,0.535,2.8693,2.3343
1,task-1,vm3,1.2001,0.149,1.3491,1.2001
1,task-1,vm4,0.9834,0.0826,1.066,0.9834
1,task-1,vm3,1.3491,0.1301,1.4792,1.3491
1,task-1,vm1,2.8693,0.478,3.3472999999999997,2.8693
1,task-1,vm3,1.4792,0.1293,1.6085,1.4792
1,task-1,vm3,1.6085,0.1215,1.73,1.6085
1,task-1,vm2,3.835,0.2058,4.0408,3.835
1,task-1,vm2,4.0408,0.2095,4.2503,4.0408
1,task-1,vm3,1.73,0.1316,1.8616,1.73
1,task-1,vm1,3.3472999999999997,0.5319,3.8792,3.3472999999999997
1,task-1,vm3,1.8616,0.1241,1.9857,1.8616
1,task-1,vm4,1.066,0.0862,1.1522000000000001,1.066
1,task-1,vm2,4.2503,0.211,4.4613000000000005,4.2503
1,task-1,vm3,1.9857,0.1165,2.1022,1.9857
1,task-1,vm3,2.1022,0.1211,2.2233,2.1022
1,task-1,vm3,2.2233,0.1355,2.3588,2.2233
1,task-1,vm2,4.4613000000000005,0.2093,4.6706,4.4613000000000005
1,task-1,vm4,1.1522000000000001,0.0848,1.237,1.1522000000000001
1,task-1,vm3,2.3588,0.1243,2.4831,2.3588
1,task-1,vm1,3.8792,0.5502,4.4294,3.8792
1,task-1,vm4,1.237,0.1057,1.3427,1.237
1,task-1,vm4,1.3427,0.0773,1.42,1.3427
1,task-1,vm3,2.4831,0.1226,2.6056999999999997,2.4831
1,task-1,vm2,4.6706,0.2092,4.8798,4.6706
1,task-1,vm1,4.4294,0.5458,4.9752,4.4294
1,task-1,vm1,4.9752,0.6356,5.6108,4.9752
1,task-1,vm3,2.6056999999999997,0.1172,2.7228999999999997,2.6056999999999997
1,task-1,vm1,5.6108,0.5424,6.1532,5.6108
1,task-1,vm2,4.8798,0.2096,5.0894,4.8798
1,task-1,vm3,2.7228999999999997,0.1322,2.8550999999999997,2.7228999999999997
1,task-1,vm3,2.8550999999999997,0.133,2.9880999999999998,2.8550999999999997
1,task-1,vm2,5.0894,0.206,5.295400000000001,5.0894
1,task-1,vm2,5.295400000000001,0.204,5.4994000000000005,5.295400000000001
1,task-1,vm1,6.1532,0.6061,6.7593,6.1532
1,task-1,vm4,1.42,0.1081,1.5281,1.42
1,task-1,vm1,6.7593,0.5228,7.2821,6.7593
1,task-1,vm4,1.5281,0.102,1.6301,1.5281
1,task-1,vm4,1.6301,0.1112,1.7413,1.6301
1,task-1,vm3,2.9880999999999998,0.127,3.1151,2.9880999999999998
1,task-1,vm3,3.1151,0.129,3.2441,3.1151
1,task-1,vm3,3.2441,0.1259,3.37,3.2441
1,task-1,vm4,1.7413,0.0859,1.8272000000000002,1.7413
1,task-1,vm2,5.4994000000000005,0.2116,5.711,5.4994000000000005
1,task-1,vm2,5.711,0.2089,5.9199,5.711
1,task-1,vm2,5.9199,0.2063,6.1262,5.9199
1,task-1,vm2,6.1262,0.2043,6.3305,6.1262
1,task-1,vm3,3.37,0.1279,3.4979,3.37
1,task-1,vm2,6.3305,0.2038,6.5343,6.3305
1,task-1,vm2,6.5343,0.2057,6.74,6.5343
1,task-1,vm3,3.4979,0.1201,3.618,3.4979
1,task-1,vm3,3.618,0.1183,3.7363,3.618
1,task-1,vm1,7.2821,0.4485,7.7306,7.2821
1,task-1,vm4,1.8272000000000002,0.0799,1.9071000000000002,1.8272000000000002
1,task-1,vm4,1.9071000000000002,0.0914,1.9985000000000002,1.9071000000000002
1,task-1,vm4,1.9985000000000002,0.0767,2.0752,1.9985000000000002
1,task-1,vm4,2.0752,0.0745,2.1497,2.0752
1,task-1,vm4,2.1497,0.0759,2.2256,2.1497
1,task-1,vm4,2.2256,0.0748,2.3004000000000002,2.2256
1,task-1,vm2,6.74,0.2023,6.9423,6.74
1,task-1,vm3,3.7363,0.118,3.8543,3.7363
1,task-1,vm1,7.7306,0.6142,8.3448,7.7306
