index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm4,0.0,0.1046,0.1046,0.0
1,task-1,vm2,0.0,0.2355,0.2355,0.0
1,task-1,vm4,0.1046,0.0975,0.2021,0.1046
1,task-1,vm1,0.0,7.1758,7.1758,0.0
1,task-1,vm1,7.1758,0.7116,7.8873999999999995,7.1758
2,task-2,vm2,0.2355,0.9132,1.1487,0.2355
2,task-2,vm2,1.1487,0.9,2.0487,1.1487
2,task-2,vm3,0.0,0.4658,0.4658,0.0
2,task-2,vm3,0.4658,0.4487,0.9145,0.4658
2,task-2,vm4,0.2021,0.2789,0.481,0.2021
3,task-3,vm4,0.481,0.5572,1.0382,0.481
3,task-3,vm4,1.0382,0.5817,1.6199,1.0382
3,task-3,vm3,0.9145,1.0101,1.9245999999999999,0.9145
3,task-3,vm2,2.0487,1.9877,4.0364,2.0487
3,task-3,vm4,1.6199,0.5578,2.1776999999999997,1.6199
3,task-3,vm4,2.1776999999999997,0.557,2.7346999999999997,2.1776999999999997
4,task-4,vm4,2.7346999999999997,1.2307,3.9654,2.7346999999999997
4,task-4,vm1,7.8873999999999995,7.0443,14.9317,7.8873999999999995
4,task-4,vm1,14.9317,6.9614,21.8931,14.9317
4,task-4,vm4,3.9654,0.9733,4.9387,3.9654
4,task-4,vm3,1.9245999999999999,1.7998,3.7244,1.9245999999999999
4,task-4,vm2,4.0364,3.5288,7.565200000000001,4.0364
5,task-5,vm4,4.9387,1.5092,6.4479,4.9387
5,task-5,vm4,6.4479,1.5055,7.9534,6.4479
5,task-5,vm3,3.7244,2.7474,6.4718,3.7244
5,task-5,vm3,6.4718,2.8169,9.2887,6.4718
5,task-5,vm4,7.9534,1.4975,9.4509,7.9534
6,task-6,vm3,9.2887,3.923,13.2117,9.2887
6,task-6,vm3,13.2117,3.964,17.1757,13.2117
6,task-6,vm4,9.4509,2.1495,11.6004,9.4509
6,task-6,vm3,17.1757,4.0146,21.1903,17.1757
6,task-6,vm4,11.6004,2.1444,13.744800000000001,11.6004
6,task-6,vm4,13.744800000000001,2.1514,15.896200000000002,13.744800000000001
7,task-7,vm3,21.1903,5.3541,26.5444,21.1903
7,task-7,vm1,21.8931,21.7923,43.6854,21.8931
7,task-7,vm3,26.5444,5.3946,31.939,26.5444
7,task-7,vm3,31.939,5.3168,37.2558,31.939
7,task-7,vm2,7.565200000000001,10.9858,18.551000000000002,7.565200000000001
8,task-8,vm2,18.551000000000002,14.141,32.692,18.551000000000002
8,task-8,vm3,37.2558,7.0103,44.2661,37.2558
8,task-8,vm3,44.2661,7.2129,51.479,44.2661
8,task-8,vm4,15.896200000000002,3.7985,19.6947,15.896200000000002
9,task-9,vm2,32.692,18.1216,50.8136,32.692
9,task-9,vm3,51.479,8.892,60.370999999999995,51.479
9,task-9,vm4,19.6947,4.8101,24.504800000000003,19.6947
9,task-9,vm4,24.504800000000003,4.7918,29.296600000000005,24.504800000000003
10,task-10,vm2,50.8136,22.1324,72.946,50.8136
10,task-10,vm3,60.370999999999995,10.8213,71.19229999999999,60.370999999999995
10,task-10,vm4,29.296600000000005,5.9341,35.230700000000006,29.296600000000005
