index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm4,0.0,0.1355,0.1355,0.0
1,task-1,vm3,0.0,0.204,0.204,0.0
1,task-1,vm1,0.0,1.9175,1.9175,0.0
1,task-1,vm3,0.204,0.1936,0.39759999999999995,0.204
1,task-1,vm3,0.39759999999999995,0.1975,0.5951,0.39759999999999995
1,task-1,vm3,0.5951,0.1993,0.7944,0.5951
1,task-1,vm3,0.7944,0.1533,0.9477,0.7944
1,task-1,vm1,1.9175,0.5741,2.4916,1.9175
1,task-1,vm3,0.9477,0.1283,1.076,0.9477
1,task-1,vm3,1.076,0.1231,1.1991,1.076
1,task-1,vm4,0.1355,0.1203,0.2558,0.1355
1,task-1,vm4,0.2558,0.0848,0.3406,0.2558
1,task-1,vm2,0.0,0.253,0.253,0.0
1,task-1,vm4,0.3406,0.0904,0.431,0.3406
1,task-1,vm2,0.253,0.225,0.478,0.253
1,task-1,vm3,1.1991,0.1311,1.3302,1.1991
1,task-1,vm1,2.4916,1.5131,4.0047,2.4916
1,task-1,vm4,0.431,0.0812,0.5122,0.431
1,task-1,vm2,0.478,0.2224,0.7003999999999999,0.478
1,task-1,vm3,1.3302,0.1335,1.4637,1.3302
1,task-1,vm4,0.5122,0.0827,0.5949,0.5122
1,task-1,vm3,1.4637,0.1363,1.6,1.4637
1,task-1,vm3,1.6,0.1312,1.7312,1.6
1,task-1,vm4,0.5949,0.0827,0.6776,0.5949
1,task-1,vm2,0.7003999999999999,0.2289,0.9292999999999999,0.7003999999999999
1,task-1,vm2,0.9292999999999999,0.2369,1.1662,0.9292999999999999
1,task-1,vm3,1.7312,0.1237,1.8549,1.7312
1,task-1,vm2,1.1662,0.2318,1.398,1.1662
1,task-1,vm4,0.6776,0.0858,0.7634,0.6776
1,task-1,vm4,0.7634,0.0842,0.8475999999999999,0.7634
1,task-1,vm4,0.8475999999999999,0.0892,0.9367999999999999,0.8475999999999999
1,task-1,vm4,0.9367999999999999,0.0877,1.0244999999999997,0.9367999999999999
1,task-1,vm4,1.0244999999999997,0.0817,1.1061999999999999,1.0244999999999997
1,task-1,vm4,1.1061999999999999,0.088,1.1942,1.1061999999999999
1,task-1,vm4,1.1942,0.0818,1.276,1.1942
1,task-1,vm3,1.8549,0.1329,1.9878,1.8549
1,task-1,vm2,1.398,0.2327,1.6306999999999998,1.398
1,task-1,vm2,1.6306999999999998,0.2356,1.8662999999999998,1.6306999999999998
1,task-1,vm4,1.276,0.0838,1.3598000000000001,1.276
1,task-1,vm3,1.9878,0.1335,2.1213,1.9878
1,task-1,vm2,1.8662999999999998,0.2354,2.1016999999999997,1.8662999999999998
1,task-1,vm4,1.3598000000000001,0.0853,1.4451,1.3598000000000001
1,task-1,vm2,2.1016999999999997,0.2432,2.3448999999999995,2.1016999999999997
1,task-1,vm2,2.3448999999999995,0.2405,2.5853999999999995,2.3448999999999995
1,task-1,vm2,2.5853999999999995,0.247,2.8323999999999994,2.5853999999999995
1,task-1,vm2,2.8323999999999994,0.2365,3.0688999999999993,2.8323999999999994
1,task-1,vm4,1.4451,0.0775,1.5226,1.4451
1,task-1,vm2,3.0688999999999993,0.2454,3.3142999999999994,3.0688999999999993
1,task-1,vm4,1.5226,0.0812,1.6038,1.5226
1,task-1,vm3,2.1213,0.1255,2.2468000000000004,2.1213
1,task-1,vm4,1.6038,0.0779,1.6817,1.6038
1,task-1,vm2,3.3142999999999994,0.2436,3.557899999999999,3.3142999999999994
1,task-1,vm2,3.557899999999999,0.2275,3.785399999999999,3.557899999999999
1,task-1,vm4,1.6817,0.0962,1.7779,1.6817
1,task-1,vm3,2.2468000000000004,0.1357,2.3825000000000003,2.2468000000000004
1,task-1,vm4,1.7779,0.0836,1.8615,1.7779
1,task-1,vm4,1.8615,0.0857,1.9472,1.8615
1,task-1,vm4,1.9472,0.0822,2.0294,1.9472
1,task-1,vm4,2.0294,0.0834,2.1128,2.0294
1,task-1,vm3,2.3825000000000003,0.128,2.5105000000000004,2.3825000000000003
1,task-1,vm3,2.5105000000000004,0.1288,2.6393000000000004,2.5105000000000004
1,task-1,vm3,2.6393000000000004,0.1299,2.7692000000000005,2.6393000000000004
1,task-1,vm3,2.7692000000000005,0.1436,2.9128000000000007,2.7692000000000005
1,task-1,vm2,3.785399999999999,0.2204,4.005799999999999,3.785399999999999
1,task-1,vm3,2.9128000000000007,0.1269,3.0397000000000007,2.9128000000000007
1,task-1,vm4,2.1128,0.0924,2.2052,2.1128
1,task-1,vm4,2.2052,0.0842,2.2894,2.2052
1,task-1,vm1,4.0047,0.855,4.8597,4.0047
1,task-1,vm4,2.2894,0.1063,2.3957,2.2894
1,task-1,vm3,3.0397000000000007,0.1278,3.167500000000001,3.0397000000000007
1,task-1,vm3,3.167500000000001,0.1218,3.289300000000001,3.167500000000001
1,task-1,vm4,2.3957,0.0913,2.487,2.3957
1,task-1,vm4,2.487,0.0812,2.5682,2.487
1,task-1,vm2,4.005799999999999,0.2265,4.232299999999999,4.005799999999999
1,task-1,vm3,3.289300000000001,0.129,3.418300000000001,3.289300000000001
1,task-1,vm4,2.5682,0.0771,2.6453,2.5682
1,task-1,vm2,4.232299999999999,0.2271,4.459399999999999,4.232299999999999
1,task-1,vm2,4.459399999999999,0.2276,4.6869999999999985,4.459399999999999
1,task-1,vm3,3.418300000000001,0.1239,3.5422000000000007,3.418300000000001
1,task-1,vm3,3.5422000000000007,0.1507,3.6929000000000007,3.5422000000000007
1,task-1,vm1,4.8597,0.712,5.5717,4.8597
1,task-1,vm2,4.6869999999999985,0.2189,4.905899999999998,4.6869999999999985
1,task-1,vm2,4.905899999999998,0.2217,5.127599999999998,4.905899999999998
1,task-1,vm4,2.6453,0.0919,2.7372,2.6453
1,task-1,vm3,3.6929000000000007,0.1257,3.818600000000001,3.6929000000000007
1,task-1,vm2,5.127599999999998,0.221,5.3485999999999985,5.127599999999998
1,task-1,vm2,5.3485999999999985,0.2186,5.567199999999999,5.3485999999999985
1,task-1,vm3,3.818600000000001,0.135,3.9536000000000007,3.818600000000001
1,task-1,vm2,5.567199999999999,0.2208,5.7879999999999985,5.567199999999999
1,task-1,vm2,5.7879999999999985,0.2215,6.009499999999998,5.7879999999999985
1,task-1,vm1,5.5717,1.2001,6.7718,5.5717
1,task-1,vm4,2.7372,0.0806,2.8178,2.7372
1,task-1,vm2,6.009499999999998,0.2195,6.228999999999998,6.009499999999998
1,task-1,vm2,6.228999999999998,0.2197,6.448699999999999,6.228999999999998
1,task-1,vm4,2.8178,0.0783,2.8961,2.8178
1,task-1,vm1,6.7718,0.5283,7.3001,6.7718
1,task-1,vm3,3.9536000000000007,0.1439,4.097500000000001,3.9536000000000007
1,task-1,vm2,6.448699999999999,0.2269,6.675599999999998,6.448699999999999
1,task-1,vm2,6.675599999999998,0.2216,6.897199999999998,6.675599999999998
1,task-1,vm2,6.897199999999998,0.2244,7.121599999999998,6.897199999999998
1,task-1,vm4,2.8961,0.0767,2.9728000000000003,2.8961
1,task-1,vm3,4.097500000000001,0.128,4.225500000000001,4.097500000000001
1,task-1,vm3,4.225500000000001,0.1254,4.350900000000001,4.225500000000001
1,task-1,vm4,2.9728000000000003,0.0891,3.0619000000000005,2.9728000000000003
1,task-1,vm3,4.350900000000001,0.1353,4.486200000000001,4.350900000000001
1,task-1,vm2,7.121599999999998,0.222,7.343599999999999,7.121599999999998
1,task-1,vm4,3.0619000000000005,0.0908,3.1527000000000007,3.0619000000000005
1,task-1,vm4,3.1527000000000007,0.0904,3.2431000000000005,3.1527000000000007
1,task-1,vm2,7.343599999999999,0.2423,7.585899999999999,7.343599999999999
1,task-1,vm3,4.486200000000001,0.1293,4.615500000000001,4.486200000000001
1,task-1,vm1,7.3001,1.2223,8.5224,7.3001
1,task-1,vm2,7.585899999999999,0.2219,7.8077999999999985,7.585899999999999
1,task-1,vm2,7.8077999999999985,0.2212,8.028999999999998,7.8077999999999985
1,task-1,vm4,3.2431000000000005,0.1163,3.3594000000000004,3.2431000000000005
1,task-1,vm4,3.3594000000000004,0.087,3.4464000000000006,3.3594000000000004
1,task-1,vm3,4.615500000000001,0.1266,4.742100000000001,4.615500000000001
1,task-1,vm1,8.5224,1.7201,10.2425,8.5224
1,task-1,vm4,3.4464000000000006,0.0784,3.5248000000000004,3.4464000000000006
1,task-1,vm3,4.742100000000001,0.1269,4.869000000000001,4.742100000000001
1,task-1,vm3,4.869000000000001,0.1214,4.990400000000001,4.869000000000001
1,task-1,vm3,4.990400000000001,0.1284,5.118800000000001,4.990400000000001
1,task-1,vm2,8.028999999999998,0.2275,8.256499999999997,8.028999999999998
1,task-1,vm2,8.256499999999997,0.2256,8.482099999999997,8.256499999999997
1,task-1,vm2,8.482099999999997,0.2238,8.705899999999998,8.482099999999997
1,task-1,vm2,8.705899999999998,0.2196,8.925499999999998,8.705899999999998
1,task-1,vm4,3.5248000000000004,0.0759,3.6007000000000002,3.5248000000000004
1,task-1,vm3,5.118800000000001,0.1224,5.241200000000001,5.118800000000001
1,task-1,vm3,5.241200000000001,0.1274,5.368600000000001,5.241200000000001
1,task-1,vm3,5.368600000000001,0.1259,5.4945,5.368600000000001
1,task-1,vm4,3.6007000000000002,0.0748,3.6755000000000004,3.6007000000000002
1,task-1,vm2,8.925499999999998,0.2238,9.149299999999998,8.925499999999998
1,task-1,vm3,5.4945,0.1219,5.6164000000000005,5.4945
1,task-1,vm3,5.6164000000000005,0.132,5.7484,5.6164000000000005
1,task-1,vm3,5.7484,0.1221,5.8705,5.7484
1,task-1,vm1,10.2425,1.1595,11.402,10.2425
1,task-1,vm4,3.6755000000000004,0.0829,3.7584000000000004,3.6755000000000004
1,task-1,vm3,5.8705,0.1404,6.0108999999999995,5.8705
1,task-1,vm1,11.402,0.8862,12.2882,11.402
1,task-1,vm3,6.0108999999999995,0.1217,6.132599999999999,6.0108999999999995
1,task-1,vm1,12.2882,0.9699,13.258099999999999,12.2882
1,task-1,vm3,6.132599999999999,0.1256,6.2581999999999995,6.132599999999999
1,task-1,vm2,9.149299999999998,0.2203,9.369599999999998,9.149299999999998
1,task-1,vm4,3.7584000000000004,0.0778,3.8362000000000003,3.7584000000000004
1,task-1,vm3,6.2581999999999995,0.1279,6.3861,6.2581999999999995
1,task-1,vm4,3.8362000000000003,0.0852,3.9214,3.8362000000000003
1,task-1,vm2,9.369599999999998,0.2202,9.589799999999999,9.369599999999998
1,task-1,vm4,3.9214,0.0959,4.0173000000000005,3.9214
1,task-1,vm2,9.589799999999999,0.2192,9.809,9.589799999999999
1,task-1,vm2,9.809,0.2255,10.0345,9.809
1,task-1,vm2,10.0345,0.2273,10.2618,10.0345
1,task-1,vm2,10.2618,0.2271,10.4889,10.2618
1,task-1,vm2,10.4889,0.2226,10.7115,10.4889
1,task-1,vm3,6.3861,0.1243,6.5104,6.3861
1,task-1,vm4,4.0173000000000005,0.1135,4.130800000000001,4.0173000000000005
1,task-1,vm1,13.258099999999999,1.1272,14.385299999999999,13.258099999999999
1,task-1,vm3,6.5104,0.1224,6.6328,6.5104
1,task-1,vm3,6.6328,0.1336,6.7664,6.6328
1,task-1,vm4,4.130800000000001,0.0797,4.210500000000001,4.130800000000001
1,task-1,vm3,6.7664,0.1251,6.8915,6.7664
1,task-1,vm2,10.7115,0.2218,10.9333,10.7115
1,task-1,vm4,4.210500000000001,0.0754,4.285900000000001,4.210500000000001
1,task-1,vm2,10.9333,0.2222,11.1555,10.9333
1,task-1,vm3,6.8915,0.1287,7.0202,6.8915
1,task-1,vm3,7.0202,0.1199,7.1401,7.0202
1,task-1,vm2,11.1555,0.2264,11.3819,11.1555
1,task-1,vm4,4.285900000000001,0.0873,4.373200000000001,4.285900000000001
1,task-1,vm2,11.3819,0.2265,11.6084,11.3819
1,task-1,vm4,4.373200000000001,0.0861,4.459300000000001,4.373200000000001
1,task-1,vm2,11.6084,0.2233,11.8317,11.6084
1,task-1,vm2,11.8317,0.2238,12.0555,11.8317
1,task-1,vm4,4.459300000000001,0.0862,4.5455000000000005,4.459300000000001
1,task-1,vm4,4.5455000000000005,0.0839,4.6294,4.5455000000000005
1,task-1,vm3,7.1401,0.1238,7.2639000000000005,7.1401
1,task-1,vm4,4.6294,0.0871,4.716500000000001,4.6294
1,task-1,vm4,4.716500000000001,0.103,4.819500000000001,4.716500000000001
1,task-1,vm3,7.2639000000000005,0.1209,7.3848,7.2639000000000005
1,task-1,vm2,12.0555,0.226,12.281500000000001,12.0555
1,task-1,vm4,4.819500000000001,0.0913,4.910800000000001,4.819500000000001
1,task-1,vm4,4.910800000000001,0.0802,4.9910000000000005,4.910800000000001
1,task-1,vm4,4.9910000000000005,0.0814,5.072400000000001,4.9910000000000005
1,task-1,vm4,5.072400000000001,0.0883,5.160700000000001,5.072400000000001
1,task-1,vm2,12.281500000000001,0.219,12.5005,12.281500000000001
1,task-1,vm3,7.3848,0.1234,7.5082,7.3848
1,task-1,vm2,12.5005,0.2203,12.7208,12.5005
1,task-1,vm3,7.5082,0.1205,7.6287,7.5082
1,task-1,vm2,12.7208,0.2248,12.9456,12.7208
1,task-1,vm3,7.6287,0.1222,7.750900000000001,7.6287
1,task-1,vm3,7.750900000000001,0.1266,7.8775,7.750900000000001
1,task-1,vm2,12.9456,0.2227,13.1683,12.9456
1,task-1,vm2,13.1683,0.2218,13.3901,13.1683
1,task-1,vm2,13.3901,0.2294,13.6195,13.3901
1,task-1,vm3,7.8775,0.1253,8.0028,7.8775
1,task-1,vm4,5.160700000000001,0.0766,5.237300000000001,5.160700000000001
1,task-1,vm2,13.6195,0.2245,13.844000000000001,13.6195
1,task-1,vm4,5.237300000000001,0.0857,5.323000000000001,5.237300000000001
1,task-1,vm2,13.844000000000001,0.2266,14.0706,13.844000000000001
1,task-1,vm2,14.0706,0.2263,14.2969,14.0706
1,task-1,vm3,8.0028,0.132,8.1348,8.0028
1,task-1,vm1,14.385299999999999,1.1173,15.5026,14.385299999999999
1,task-1,vm4,5.323000000000001,0.0788,5.4018000000000015,5.323000000000001
1,task-1,vm4,5.4018000000000015,0.0797,5.481500000000001,5.4018000000000015
1,task-1,vm2,14.2969,0.2349,14.5318,14.2969
1,task-1,vm3,8.1348,0.1344,8.2692,8.1348
1,task-1,vm3,8.2692,0.1297,8.3989,8.2692
1,task-1,vm4,5.481500000000001,0.0817,5.563200000000001,5.481500000000001
1,task-1,vm3,8.3989,0.1479,8.5468,8.3989
1,task-1,vm3,8.5468,0.126,8.672799999999999,8.5468
1,task-1,vm3,8.672799999999999,0.1342,8.806999999999999,8.672799999999999
1,task-1,vm4,5.563200000000001,0.0788,5.642000000000001,5.563200000000001
1,task-1,vm3,8.806999999999999,0.1268,8.933799999999998,8.806999999999999
1,task-1,vm1,15.5026,1.1229,16.6255,15.5026
1,task-1,vm3,8.933799999999998,0.1276,9.061399999999997,8.933799999999998
1,task-1,vm4,5.642000000000001,0.0837,5.725700000000002,5.642000000000001
1,task-1,vm4,5.725700000000002,0.0851,5.810800000000001,5.725700000000002
1,task-1,vm3,9.061399999999997,0.1356,9.196999999999997,9.061399999999997
1,task-1,vm4,5.810800000000001,0.0782,5.889000000000001,5.810800000000001
1,task-1,vm3,9.196999999999997,0.124,9.320999999999998,9.196999999999997
1,task-1,vm4,5.889000000000001,0.0766,5.965600000000001,5.889000000000001
1,task-1,vm2,14.5318,0.2258,14.7576,14.5318
2,task-2,vm4,5.965600000000001,0.2617,6.227300000000001,5.965600000000001
2,task-2,vm3,9.320999999999998,0.4907,9.811699999999998,9.320999999999998
2,task-2,vm4,6.227300000000001,0.2564,6.483700000000002,6.227300000000001
2,task-2,vm4,6.483700000000002,0.2703,6.754000000000001,6.483700000000002
2,task-2,vm3,9.811699999999998,0.4719,10.283599999999998,9.811699999999998
2,task-2,vm4,6.754000000000001,0.2676,7.021600000000001,6.754000000000001
2,task-2,vm4,7.021600000000001,0.2618,7.283400000000001,7.021600000000001
2,task-2,vm3,10.283599999999998,0.4522,10.735799999999998,10.283599999999998
3,task-3,vm2,14.7576,1.9184,16.676000000000002,14.7576
3,task-3,vm3,10.735799999999998,1.0295,11.765299999999998,10.735799999999998
3,task-3,vm1,16.6255,6.9975,23.622999999999998,16.6255
3,task-3,vm1,23.622999999999998,8.1122,31.7352,23.622999999999998
4,task-4,vm4,7.283400000000001,1.0101,8.293500000000002,7.283400000000001
4,task-4,vm4,8.293500000000002,0.9824,9.275900000000002,8.293500000000002
4,task-4,vm4,9.275900000000002,0.9701,10.246000000000002,9.275900000000002
4,task-4,vm4,10.246000000000002,0.9984,11.244400000000002,10.246000000000002
4,task-4,vm3,11.765299999999998,1.7966,13.561899999999998,11.765299999999998
5,task-5,vm1,31.7352,25.0101,56.7453,31.7352
5,task-5,vm2,16.676000000000002,5.644,22.32,16.676000000000002
6,task-6,vm2,22.32,8.1462,30.4662,22.32
6,task-6,vm2,30.4662,7.5212,37.9874,30.4662
6,task-6,vm4,11.244400000000002,2.1487,13.393100000000002,11.244400000000002
7,task-7,vm3,13.561899999999998,5.5141,19.075999999999997,13.561899999999998
