index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,1.0674,1.0674,0.0
1,task-1,vm2,0.0,0.2382,0.2382,0.0
1,task-1,vm3,0.0,0.1229,0.1229,0.0
1,task-1,vm4,0.0,0.085,0.085,0.0
1,task-1,vm1,1.0674,2.7157,3.7831,1.0674
2,task-2,vm2,0.2382,0.9074,1.1456,0.2382
2,task-2,vm3,0.1229,0.4627,0.5856,0.1229
2,task-2,vm4,0.085,0.2724,0.3574,0.085
2,task-2,vm1,3.7831,12.0251,15.8082,3.7831
2,task-2,vm2,1.1456,0.8662,2.0118,1.1456
3,task-3,vm3,0.5856,1.0267,1.6122999999999998,0.5856
3,task-3,vm4,0.3574,0.5728,0.9301999999999999,0.3574
3,task-3,vm1,15.8082,4.662,20.4702,15.8082
3,task-3,vm2,2.0118,1.8825,3.8943000000000003,2.0118
3,task-3,vm3,1.6122999999999998,1.0051,2.6174,1.6122999999999998
3,task-3,vm4,0.9301999999999999,0.5547,1.4848999999999999,0.9301999999999999
4,task-4,vm1,20.4702,9.3513,29.8215,20.4702
4,task-4,vm2,3.8943000000000003,3.5985,7.492800000000001,3.8943000000000003
4,task-4,vm3,2.6174,1.7848,4.4022,2.6174
4,task-4,vm4,1.4848999999999999,0.9657,2.4505999999999997,1.4848999999999999
4,task-4,vm1,29.8215,17.9112,47.7327,29.8215
4,task-4,vm2,7.492800000000001,3.4131,10.9059,7.492800000000001
5,task-5,vm3,4.4022,2.7747,7.1769,4.4022
5,task-5,vm4,2.4505999999999997,1.4918,3.9423999999999997,2.4505999999999997
5,task-5,vm1,47.7327,27.0393,74.772,47.7327
5,task-5,vm2,10.9059,5.4035,16.3094,10.9059
5,task-5,vm3,7.1769,2.7941,9.971,7.1769
6,task-6,vm4,3.9423999999999997,2.1647,6.107099999999999,3.9423999999999997
6,task-6,vm1,74.772,20.215,94.98700000000001,74.772
6,task-6,vm2,16.3094,8.0876,24.397,16.3094
6,task-6,vm3,9.971,4.0705,14.0415,9.971
6,task-6,vm4,6.107099999999999,2.1376,8.244699999999998,6.107099999999999
7,task-7,vm2,24.397,11.0251,35.4221,24.397
7,task-7,vm3,14.0415,5.5161,19.5576,14.0415
7,task-7,vm4,8.244699999999998,2.9046,11.149299999999998,8.244699999999998
7,task-7,vm2,35.4221,10.3388,45.7609,35.4221
8,task-8,vm3,19.5576,7.1325,26.6901,19.5576
8,task-8,vm4,11.149299999999998,3.7955,14.944799999999999,11.149299999999998
8,task-8,vm2,45.7609,13.6053,59.3662,45.7609
9,task-9,vm3,26.6901,8.9448,35.6349,26.6901
9,task-9,vm4,14.944799999999999,4.7655,19.7103,14.944799999999999
9,task-9,vm2,59.3662,17.033,76.39920000000001,59.3662
9,task-9,vm3,35.6349,8.9522,44.5871,35.6349
10,task-10,vm4,19.7103,5.9915,25.7018,19.7103
10,task-10,vm2,76.39920000000001,22.3825,98.7817,76.39920000000001
