index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1,vm1,0.0,0.5938,0.5938,0.0
1,task-1,vm2,0.0,0.3273,0.3273,0.0
1,task-1,vm3,0.0,0.1964,0.1964,0.0
1,task-1,vm4,0.0,0.0951,0.0951,0.0
1,task-1,vm4,0.0951,0.079,0.1741,0.0951
1,task-1,vm3,0.1964,0.1245,0.32089999999999996,0.1964
1,task-1,vm4,0.1741,0.0827,0.25680000000000003,0.1741
1,task-1,vm4,0.25680000000000003,0.0883,0.3451,0.25680000000000003
1,task-1,vm2,0.3273,0.2496,0.5769,0.3273
1,task-1,vm3,0.32089999999999996,0.1312,0.45209999999999995,0.32089999999999996
1,task-1,vm4,0.3451,0.0904,0.4355,0.3451
1,task-1,vm4,0.4355,0.0892,0.5246999999999999,0.4355
1,task-1,vm3,0.45209999999999995,0.1498,0.6018999999999999,0.45209999999999995
1,task-1,vm4,0.5246999999999999,0.0825,0.6072,0.5246999999999999
1,task-1,vm4,0.6072,0.0795,0.6867,0.6072
1,task-1,vm1,0.5938,0.5218,1.1156000000000001,0.5938
1,task-1,vm2,0.5769,0.2547,0.8315999999999999,0.5769
1,task-1,vm3,0.6018999999999999,0.1513,0.7531999999999999,0.6018999999999999
1,task-1,vm4,0.6867,0.0803,0.767,0.6867
1,task-1,vm4,0.767,0.0763,0.8433,0.767
1,task-1,vm3,0.7531999999999999,0.1261,0.8792999999999999,0.7531999999999999
1,task-1,vm4,0.8433,0.096,0.9393,0.8433
1,task-1,vm4,0.9393,0.107,1.0463,0.9393
1,task-1,vm2,0.8315999999999999,0.2519,1.0835,0.8315999999999999
1,task-1,vm3,0.8792999999999999,0.1202,0.9994999999999998,0.8792999999999999
1,task-1,vm4,1.0463,0.0814,1.1277,1.0463
1,task-1,vm4,1.1277,0.0864,1.2141,1.1277
1,task-1,vm3,0.9994999999999998,0.1324,1.1319,0.9994999999999998
1,task-1,vm4,1.2141,0.0766,1.2907,1.2141
1,task-1,vm4,1.2907,0.0898,1.3805,1.2907
